ticker,prior_rev_growth_yoy,prior_q_end,mktcap_t0,mktcap_source
HLT,0.08824555284269264,2025-09-30,66427721951.132355,sec_shares_x_jan_price
HD,0.028221896213044273,2025-11-02,368369588295.88477,sec_shares_x_jan_price
HON,0.06423819391427643,2025-12-31,135295826824.20103,sec_shares_x_jan_price
HRL,0.046381108753906775,2025-07-27,13757873975.0,yfinance_current
HST,0.00909780136467031,2025-09-30,12413174563.447565,sec_shares_x_jan_price
HWM,0.1384196185286104,2025-09-30,88261697180.69661,sec_shares_x_jan_price
HUBB,0.11871393239901074,2025-12-31,24977868703.465393,sec_shares_x_jan_price
HUM,0.11062353301357275,2025-09-30,32156405983.526093,sec_shares_x_jan_price
HBAN,0.1712707182320441,2025-09-30,36148197184.68221,sec_shares_x_jan_price
HII,0.16114950891233182,2025-09-30,16187758498.97461,sec_shares_x_jan_price
IBM,0.09106092998396575,2025-09-30,269761524392.78284,sec_shares_x_jan_price
IEX,0.10085191681282879,2025-09-30,14320410099.254883,sec_shares_x_jan_price
IQV,0.05236139630390135,2025-09-30,39657193414.30664,sec_shares_x_jan_price
IDXX,0.13294749693247754,2025-09-30,54623681359.836914,sec_shares_x_jan_price
ITW,0.02344931921331317,2025-09-30,72871635614.01367,sec_shares_x_jan_price
INCY,0.20047000055366548,2025-09-30,20422867099.92961,sec_shares_x_jan_price
IR,0.05051047823750676,2025-09-30,33333562650.656418,sec_shares_x_jan_price
PODD,0.05789473684210522,2023-03-31,20010019794.0,sec_shares_x_jan_price
INTC,0.02777777777777768,2025-09-27,242557206859.58862,sec_shares_x_jan_price
ICE,-0.008572370590174794,2025-09-30,96769302386.64172,sec_shares_x_jan_price
IFF,-0.078974358974359,2025-09-30,17996848360.046265,sec_shares_x_jan_price
IP,0.5313615502294748,2025-12-31,21518792496.02664,sec_shares_x_jan_price
INTU,0.18336886993603407,2025-10-31,145830466180.41992,sec_shares_x_jan_price
ISRG,0.22913497865659194,2025-09-30,187309893070.29718,sec_shares_x_jan_price
IVZ,0.0824864722185561,2025-09-30,12188556127.70965,sec_shares_x_jan_price
INVH,,,16429704053.186844,sec_shares_x_jan_price
IRM,0.12632612411532862,2025-09-30,27099445605.33197,sec_shares_x_jan_price
JBHT,0.1563557849746262,2017-12-31,19177770274.04428,sec_shares_x_jan_price
SJM,0.025933427263120867,2025-10-31,10777418325.01854,sec_shares_x_jan_price
JPM,0.048838517108621415,2014-09-30,812342233541.7405,sec_shares_x_jan_price
JBL,0.18744638261366875,2025-11-30,26041564256.942123,sec_shares_x_jan_price
JKHY,0.07926489244538626,2025-12-31,13375515137.448242,sec_shares_x_jan_price
J,0.5609846164048977,2018-09-28,15908042223.375412,sec_shares_x_jan_price
JNJ,0.06773174313559704,2025-09-28,520092197667.8242,sec_shares_x_jan_price
JCI,0.06837449318098043,2025-12-31,69895768354.3694,sec_shares_x_jan_price
KKR,0.3534766720244489,2020-09-30,109158153859.18205,sec_shares_x_jan_price
KLAC,0.07159755217265973,2025-12-31,194302659159.641,sec_shares_x_jan_price
KVUE,-0.034624262631443914,2025-09-28,32935661913.27448,sec_shares_x_jan_price
KDP,0.106656386533025,2025-09-30,37642242144.21392,sec_shares_x_jan_price
KEY,0.03341288782816232,2025-09-30,22532163422.76068,sec_shares_x_jan_price
KEYS,0.11092851273623672,2025-07-31,36351669991.64497,sec_shares_x_jan_price
KMB,-0.005847953216374324,2025-12-31,32821696136.48787,sec_shares_x_jan_price
KIM,0.05560918145428184,2025-09-30,13827480593.306393,sec_shares_x_jan_price
KMI,0.1322992700729928,2025-09-30,61043435291.83259,sec_shares_x_jan_price
KSS,-0.03638814016172509,2025-11-01,2001735503.467804,sec_shares_x_jan_price
KHC,0.02198041349292712,2014-12-27,27169047221.160587,sec_shares_x_jan_price
KR,0.006689659273354298,2025-11-08,39556621268.1015,sec_shares_x_jan_price
LHX,0.025322391559202906,2026-01-02,63460056834.05301,sec_shares_x_jan_price
LKQ,-0.023716517857142905,2025-09-30,8166111894.309666,sec_shares_x_jan_price
LH,0.08577087141986595,2025-09-30,22238871826.171875,sec_shares_x_jan_price
LRCX,0.22137422198618983,2025-12-28,277406790970.5963,sec_shares_x_jan_price
LW,0.05461781254288467,2017-02-26,5939780387.894852,sec_shares_x_jan_price
LVS,0.2600138121546962,2025-12-31,38903144891.11482,sec_shares_x_jan_price
LDOS,0.06716238906212513,2025-10-03,24071210492.37964,sec_shares_x_jan_price
LEN,-0.06433318797855825,2025-08-31,21249360255.27391,yfinance_current
LII,,,17539276854.372955,sec_shares_x_jan_price
LIN,0.030995691718525675,2025-09-30,199416629287.68652,sec_shares_x_jan_price
LYV,0.11084124386508742,2025-09-30,33024888896.1828,sec_shares_x_jan_price
LMT,0.08799111318989716,2025-09-28,130987668978.86719,sec_shares_x_jan_price
L,0.0717423133235724,2025-09-30,21054897751.69124,sec_shares_x_jan_price
LOW,0.03187902825979183,2025-10-31,149170170530.05728,sec_shares_x_jan_price
LULU,0.07062328407033114,2025-11-02,21176991522.8817,sec_shares_x_jan_price
LYB,-0.2514047665181166,2025-09-30,15391388524.92752,sec_shares_x_jan_price
MTB,0.07360406091370564,2025-09-30,31109338731.91681,sec_shares_x_jan_price
MGM,0.01609461605139484,2025-09-30,8595837848.03666,sec_shares_x_jan_price
MSCI,0.09482617064874677,2025-09-30,42602638893.00488,sec_shares_x_jan_price
M,-0.006115563053563866,2025-11-01,5554832415.632114,sec_shares_x_jan_price
MPC,-0.00848833565955509,2025-09-30,51092143349.767395,sec_shares_x_jan_price
MKTX,0.010187939917277511,2025-09-30,6070896853.356628,sec_shares_x_jan_price
MAR,0.037410071942445944,2025-09-30,82838871562.78479,sec_shares_x_jan_price
MRSH,0.11479726171669302,2025-09-30,86737579276.45953,sec_shares_x_jan_price
MLM,0.08640226628895187,2025-12-31,37949959787.69763,sec_shares_x_jan_price
MAS,-0.033282904689863835,2025-09-30,13752851445.743484,sec_shares_x_jan_price
MA,0.1713519039100435,2022-09-30,65042427734.181274,sec_shares_x_jan_price
MTCH,0.02098418285530501,2025-09-30,7132420808.235878,sec_shares_x_jan_price
MKC,0.026848434337421123,2025-08-31,14370115659.517456,yfinance_current
MCD,0.02982685872253743,2025-09-30,212500768782.9453,sec_shares_x_jan_price
MCK,0.114005079018616,2025-12-31,100470410544.41016,sec_shares_x_jan_price
MDT,0.0664048554087826,2025-10-24,125565853678.70105,sec_shares_x_jan_price
MRK,0.03716155370114671,2025-09-30,268613737654.73224,sec_shares_x_jan_price
MET,0.12093862815884471,2025-09-30,48553054639.26963,sec_shares_x_jan_price
META,0.2624602724876197,2025-09-30,1479647005874.8252,yfinance_current
MTD,0.07874410053062486,2025-09-30,28528113501.800537,sec_shares_x_jan_price
MCHP,0.15594541910331383,2025-12-31,39166528356.83496,sec_shares_x_jan_price
MU,0.5665403605465611,2025-11-27,410638385529.01544,sec_shares_x_jan_price
MSFT,0.16717888327205888,2025-12-31,3360133188232.2573,sec_shares_x_jan_price
MAA,0.005891574703425384,2025-09-30,15523537172.230835,sec_shares_x_jan_price
MRNA,-0.4543501611170784,2025-09-30,16982395232.0,sec_shares_x_jan_price
MHK,0.014306730415593938,2025-09-27,7364180076.803787,sec_shares_x_jan_price
MOH,0.10996131528046416,2025-09-30,9850405220.031738,sec_shares_x_jan_price
TAP,-0.033025282380040544,2025-09-30,7460792871.855469,yfinance_current
MDLZ,0.05867014341590604,2025-09-30,73696170226.44896,sec_shares_x_jan_price
MPWR,0.18876538212826888,2025-09-30,50710695519.28711,sec_shares_x_jan_price
MNST,0.16808641059706875,2025-09-30,79699717893.15814,sec_shares_x_jan_price
MCO,0.10700496414782124,2025-09-30,91301621923.82812,sec_shares_x_jan_price
MS,0.13185408921933095,2015-06-30,286027008891.27844,sec_shares_x_jan_price
MOS,0.22811199260023485,2025-09-30,8424755496.142101,sec_shares_x_jan_price
MSI,0.07849462365591409,2025-09-27,64615160548.72949,sec_shares_x_jan_price
